9785 26820
7806 4920 -573
5770 5158 -535
3453 2478 345
9709 2789 521
3961 9189 -805
2160 3168 -858
3003 8773 500
1628 6138 -904
283 2714 -887
8406 9080 -527
2967 1598 765
918 7852 576
8081 9571 -739
5663 5039 480
7442 461 546
4801 4871 245
1989 403 173
3339 1840 -361
6325 3756 -914
5995 1578 -613
6102 6776 831
5475 5294 -531
889 4099 -848
4084 7988 114
6880 4130 -118
5595 6429 -901
8694 5911 -655
8364 6203 195
4375 7381 623
7477 696 -999
5850 7725 948
1674 6282 -982
9387 3649 351
6933 3236 48
6042 6501 615
8012 3176 -907
9502 2288 848
4884 8627 854
2242 7632 -479
7885 7016 -338
2003 8763 -334
2045 8924 -510
5139 6691 127
6834 9421 -450
4647 3241 649
3069 9699 114
7617 3158 217
305 8183 613
9463 7239 3
4119 7491 -528
4226 3530 -894
7570 2002 -975
2489 2918 12
8796 8929 -237
4750 2471 914
1276 914 148
2 2459 -669
547 1928 740
2261 8526 891
4828 5055 -977
4301 8887 -547
5071 9658 673
6843 906 -913
3348 6021 -126
4491 1041 -537
2557 6426 725
6116 3148 -670
7054 8665 631
8738 5513 -431
8255 3864 -144
5926 353 -286
4380 3992 597
3581 6322 -204
7084 5668 -895
5409 3868 123
1458 8497 202
8189 5732 889
8179 7834 59
7543 8704 889
6718 2196 -546
7906 180 -715
2790 4059 -168
140 767 101
4024 2988 -885
8266 3049 923
599 563 -255
5347 4226 -113
6455 8614 862
4662 1499 -960
4226 5666 -25
4938 9715 -363
4479 1827 465
6384 6416 -87
4873 4056 -10
8432 5113 992
1238 3901 -766
5599 7007 822
7120 5164 4
4705 352 -288
5130 2180 549
3379 7833 -550
4570 6279 -64
590 367 -193
2409 1866 -194
1727 7344 -623
3869 7137 828
9662 7580 438
2975 3016 -352
7535 123 -860
8531 7131 -12
8403 2885 615
6411 4966 773
2468 3278 -112
7812 4463 991
1007 86 -735
6447 595 606
8736 2779 -847
4843 3385 -425
7916 7774 556
7675 8714 -103
8539 5741 -964
8458 6008 -930
6278 1734 -943
7051 3052 112
1353 6595 867
7791 1391 -523
1566 5387 -743
3372 5945 560
9689 1755 -434
4354 3677 325
5905 5807 541
2527 2940 -254
3692 2823 450
4982 8333 891
6504 4918 622
4592 5581 -810
1195 7187 -327
3413 8461 728
4910 7591 -828
9612 3225 -584
8254 4044 398
1376 4392 295
1402 4534 199
1267 3335 813
9113 3681 -380
7292 2617 -813
390 3824 380
2921 161 125
6014 6549 -251
8620 36 -326
3847 8421 -629
8351 3524 -472
2277 4251 -851
9636 4829 700
8509 1212 281
4978 1153 -964
2413 7270 -986
6533 5665 -960
8716 4080 273
8159 1151 68
146 7312 -298
4165 8667 -466
2526 5695 -691
4866 7692 -683
8288 9243 63
2995 7695 783
2539 8094 927
8991 4940 -588
9394 455 354
7795 3467 -203
1122 2332 -446
972 5053 -337
1008 9325 -161
2885 4055 93
4909 1702 -651
5408 1221 343
8424 7866 416
5609 3009 -101
1960 1779 896
3386 9038 64
2345 988 881
9712 3205 295
8299 7545 -787
2322 7048 -196
6931 3936 -575
5732 2651 -319
9489 3823 903
1682 4478 317
2219 750 -305
8433 6429 219
7052 4860 -915
3086 632 741
4757 5135 -396
6675 7885 865
2184 8334 260
2327 7419 395
1114 6014 482
5994 5816 97
2362 2696 238
8462 6266 -500
8993 3200 157
2012 9338 587
3536 9251 246
7284 8461 588
1545 7232 -375
4492 6932 359
6796 9692 -600
9696 2780 -352
3091 5958 -66
5993 532 676
1732 8770 934
677 4075 -514
5566 2226 -181
5774 1497 736
5478 4851 325
871 1104 827
3646 5438 -731
3846 5669 -44
5335 9396 -71
8155 3123 -874
9226 257 -784
3816 5618 977
8198 5825 629
4110 7317 -571
6489 5742 -787
2028 2568 -309
1788 9689 -288
240 4279 -713
2311 3944 -733
316 1480 342
7922 9561 -91
2068 3956 -98
112 9614 814
9122 639 -414
1709 2599 548
5307 1496 887
1989 1722 448
8429 6239 -42
22 4001 484
2729 1793 482
3577 1631 -486
3855 8246 305
2611 8502 344
1924 9310 649
2931 839 150
1999 2787 266
5123 2920 33
7599 6885 -105
1830 2761 516
924 2950 480
4741 6199 -120
8852 7250 763
524 63 359
8345 3990 -930
9525 2368 -313
6639 1773 711
8438 7358 -303
1709 144 254
7539 6453 656
5957 411 -324
4552 9049 678
8819 7880 -690
5228 8569 -716
446 6164 802
2468 8163 -920
9454 942 712
717 9097 -336
4327 7003 857
4735 7786 845
2521 6877 517
406 2909 272
5198 821 -697
5645 6839 490
8919 5370 -129
4366 8835 -4
778 108 -330
6035 9669 787
1542 8774 206
3296 666 -833
641 9001 -723
7273 185 90
765 6335 558
8808 3294 -973
576 9206 785
5446 7690 981
9668 1344 -702
1293 7189 598
6431 8654 652
3234 2296 226
3723 2684 -338
878 4633 -252
3970 9086 441
6484 6133 702
2098 8844 -227
3607 2840 296
9379 1936 518
989 5395 870
176 8117 -936
9584 9447 -704
4489 3366 -240
3479 8023 -987
6083 5738 -421
3421 6104 -882
6586 9639 -959
6757 2503 542
310 6133 641
6898 4980 -901
5302 1686 -43
5166 5214 -943
5462 8054 -556
6737 6361 -668
3908 6379 716
572 4205 855
1876 6336 752
5082 7102 143
1234 5739 -339
365 3016 611
7885 5171 -364
1699 7908 304
8105 8730 794
3624 528 -491
5507 1501 -217
6274 6102 307
7544 4161 -613
3757 5428 -310
6356 1289 -734
3657 3770 -815
6943 6304 -796
89 4717 419
9610 7638 866
7431 5172 -836
7140 3856 974
6144 4014 64
3462 5612 402
8026 7362 -675
6249 9696 -290
6855 6898 -140
2013 4411 -766
9020 7293 -496
7511 7608 -838
8136 2975 47
9188 7992 -426
8105 4923 -777
6933 9459 -812
5147 7664 493
4041 9734 -392
6383 2170 948
5325 8961 4
4772 3175 323
2259 7395 -105
4343 7969 -62
8702 3684 628
3315 5582 -856
6904 7142 917
5854 476 333
1049 8797 298
2627 4583 -194
8861 1605 560
2409 2896 61
6669 1138 -290
3370 5003 92
2063 688 465
7162 4272 538
4585 34 150
8238 9265 286
2802 8149 -1000
7539 7747 968
9431 4248 -569
4423 8974 -337
210 5521 -731
965 204 -465
2776 2178 -87
3740 3255 -507
629 4545 797
9320 3457 523
5638 5241 -30
4396 1990 229
6725 616 -787
2137 7446 725
5985 7681 558
4573 1814 -549
6013 4770 -45
7952 8133 -360
579 6895 -808
3373 4577 225
9605 2252 -656
4363 8537 -483
701 1185 513
3411 2664 537
9505 7571 325
5164 5180 -833
6345 8730 -281
8906 8264 115
2205 6178 -317
2188 7170 -481
3186 8136 -202
3766 2903 -190
5758 5405 -69
1190 5273 637
7635 5000 -755
3307 5091 535
1645 3875 907
2893 8257 -669
70 2167 -305
7728 9068 30
387 3058 -890
7466 1463 188
2096 7877 -166
3267 3742 -621
4270 918 838
2948 790 -183
6131 7646 -685
8019 3083 882
8537 9778 593
7023 1633 -525
2296 3173 771
4969 1297 -461
4288 8898 186
5780 8542 31
2556 3905 952
1736 2181 77
9148 433 44
8846 8408 -217
1985 2873 658
6816 1587 811
8754 6329 -669
1401 9264 96
6778 2145 -838
5419 9376 139
2252 4624 -534
7243 7653 957
4033 1317 -420
4093 9280 53
8424 2328 558
5890 1415 392
9572 879 -12
4682 8965 -937
5317 3656 184
2577 5508 -949
5593 7601 903
293 1382 472
1066 3891 516
909 656 211
6579 6751 9
1468 261 963
1314 1098 -871
1964 7319 -101
8310 8175 658
2528 3974 -431
2109 8594 321
4377 6931 31
7408 1358 397
5877 5255 -580
4031 8025 742
7097 3940 -926
9477 8335 281
9074 8691 799
6979 1016 -727
3896 6107 -747
3100 3859 67
6418 7898 -614
2720 2200 -536
2056 6862 678
13 8425 -633
4786 2313 412
6517 8607 -719
3336 4610 -515
3370 5635 -265
8892 5673 598
2302 7252 332
5640 4786 -505
2686 7307 37
4174 6560 -847
2464 8952 -939
3481 9082 423
5894 7996 -749
823 9700 -877
5386 7736 -3
5343 3100 -295
6439 9450 891
1202 6960 255
3933 1395 283
6183 1382 755
9556 7318 -329
9733 1541 -305
8797 1905 -509
5344 7022 166
6631 9199 -935
2834 6207 -887
4259 9561 464
2211 4153 838
1505 9471 -569
4336 7386 -150
4706 5285 -88
1593 8379 -770
3144 4741 -870
940 96 958
9598 2072 584
4999 8778 -510
7106 4350 -692
3555 7245 992
1851 3640 -377
3959 788 535
8046 7550 753
4574 9330 467
9760 2177 -800
856 6070 910
6512 1331 471
97 4740 -903
6363 5435 -49
6909 8304 851
1740 8782 -79
822 4843 156
3080 9527 237
4025 8159 377
2214 2629 89
2635 1384 714
7502 6282 -913
9410 5213 109
994 7749 540
4406 1017 233
1408 1223 -178
175 7385 -953
5241 4658 593
3936 859 -803
8806 7075 -749
4452 7286 -751
5775 6533 -586
3357 2337 -189
1137 5249 -228
2857 7390 980
1557 2142 660
2216 8071 -11
8757 1145 -775
7753 3845 14
9105 2180 351
4279 2640 826
7049 3435 35
6016 3008 612
1601 3010 -910
911 6747 -135
2435 7741 201
2396 5871 301
123 4880 -429
7202 5892 270
8719 6272 679
6311 2365 -206
2656 6093 832
5709 540 -372
2825 9711 990
9524 811 879
7036 2647 604
5494 690 -420
3840 3956 -734
8831 2566 642
6519 5096 -573
4377 7643 -773
8990 58 -195
8801 5819 -761
1994 1501 -189
6891 987 -693
4978 3782 803
3915 2488 -203
8198 2806 -664
2123 6772 406
3434 9096 266
2630 8955 -680
5395 7513 259
5829 5339 460
6924 6296 -691
4209 6004 -475
5789 6589 -554
1974 6441 -754
790 2902 -448
3418 5598 -219
8236 8648 349
7152 5284 -966
652 8839 367
9008 8138 -198
5933 3148 243
4415 4448 27
4553 9196 426
2032 4987 -741
523 4134 -213
7263 4422 -761
9544 5427 423
5314 6559 -742
6154 5757 983
1976 2767 -976
6668 3774 45
4318 5223 -283
4762 2670 -111
9446 8210 -310
9296 5071 18
7334 3851 -514
4558 2463 175
1520 3546 654
6619 7498 -769
6884 502 971
7081 1526 867
1093 4668 -492
5739 6461 -931
129 8225 -127
9533 487 337
5567 8645 -675
6526 511 845
1185 266 -355
4198 3087 438
515 3569 518
970 8541 848
368 8090 819
562 2879 965
2665 2836 999
8476 8478 -95
7476 8133 647
4010 2521 -581
8247 9342 391
855 8722 -194
6521 3240 -795
2903 4463 153
494 8492 -717
4043 7003 77
9037 3604 228
8916 2831 342
7587 2801 482
1712 5547 550
4725 7902 243
8234 6776 -134
8935 6800 -254
309 1600 647
4765 3522 -232
6768 4631 -105
5289 41 -770
82 4047 -817
9660 3589 -578
2389 1189 -91
8732 1997 435
5526 5148 -371
4810 2583 -154
3167 5254 -218
6596 1696 557
8752 9360 -317
947 8853 -944
3572 5404 -851
3314 4280 897
3545 409 -341
6754 6959 -768
6716 4272 -427
7040 372 144
8836 8444 -258
8731 3896 628
9545 2305 -847
8649 6728 199
1885 8904 662
3441 2174 -662
3071 25 23
4519 1387 -961
4260 5606 -887
1631 9764 -225
7688 9201 0
3039 3956 -103
2144 3274 -587
6262 9127 -901
2191 8726 305
378 5798 -123
1507 3352 -288
5219 1070 353
8851 7379 -153
7034 3276 -732
8822 7183 -928
6744 8083 -992
8392 6765 43
9248 6928 138
2471 3050 -436
5320 2670 -825
5222 3053 -640
4842 771 977
4121 6904 -173
6477 397 724
1905 7306 986
3237 4209 -724
7849 9316 -68
5521 1752 -573
1792 6404 694
5939 2550 372
531 2248 886
5268 9027 -859
7344 3918 -401
8370 9347 660
506 8636 -842
4821 2288 27
962 7676 740
65 558 191
4026 7388 -432
5469 4289 712
3901 1297 398
6413 264 444
8283 3359 -258
4405 6196 118
586 5790 -944
1264 5580 242
4119 3355 -237
71 8503 811
6851 6900 961
8427 9322 -973
6695 6439 927
5305 6433 -982
3564 8666 -299
2796 4023 859
5514 165 138
4582 5974 131
4053 4382 -505
2917 7105 924
8685 4874 -518
3988 4365 635
2423 1950 -429
2749 8450 -921
9431 9198 315
7207 399 28
9258 7104 966
7989 9514 -691
5313 943 389
8200 2701 76
3601 5632 174
8210 6446 -723
4509 3893 -576
4747 1510 -579
4979 7070 -891
8096 3484 -603
4365 3164 -442
4798 4599 -449
3822 713 856
2293 6893 501
4353 4358 -445
5647 7983 -411
7164 9473 119
3809 517 227
5052 474 758
5841 7364 246
2503 995 -487
1078 9126 -478
5942 3914 -827
592 8246 480
9189 3531 782
3698 1062 -731
2383 1437 -322
1628 1701 552
4443 7041 -496
1803 6049 -110
6518 9585 550
3537 9521 90
6362 995 953
5739 339 -149
971 2959 -334
1230 2388 -21
9069 1202 -746
2168 5729 -280
8939 435 802
8263 7380 -955
7838 9716 887
1461 9014 332
5965 866 -529
4132 7660 -234
5598 7266 -846
877 7958 465
1763 2731 -770
1672 7345 -386
6727 1738 263
3662 6417 858
4950 5105 766
2157 8557 678
3657 1749 -746
8181 2315 865
1210 2938 733
5636 7875 -565
41 4293 76
2269 1490 -446
7840 9222 961
560 5226 636
1787 2695 118
1817 5143 448
9022 6608 736
5341 4590 120
3673 6015 -172
741 2989 33
8154 394 -94
3051 5892 -7
8155 4013 991
9498 962 -727
9091 338 -381
7744 2911 686
1523 5955 216
6999 7943 -205
3130 2205 -757
3230 8016 -457
7150 4351 -431
206 5221 207
2131 1367 834
8219 7194 -361
112 8822 244
420 862 -733
2612 4935 -172
52 8103 -851
7284 5282 -804
5481 3582 704
1443 2517 281
1996 9600 893
5059 2407 -847
3411 8395 743
5436 1817 -528
8064 761 -175
3577 6724 -179
4001 3302 726
8249 4728 -501
1899 7434 932
332 3386 175
6343 1217 -265
7121 967 334
6428 2884 133
92 6612 689
2416 2151 -487
7911 7390 276
1953 6075 -268
4777 4992 400
1331 4262 476
8715 9738 893
8687 8937 188
7962 3973 -948
3996 4271 -537
7226 5154 470
4595 9051 533
8077 4940 -471
2204 5578 -330
4540 3749 -311
390 6410 -462
8529 2467 405
3346 1493 582
2112 62 36
8859 3658 84
9306 6848 -600
1631 1902 723
6726 8079 830
8067 6635 -810
8722 4900 610
9549 5258 486
7609 9618 -263
284 1696 472
4338 2057 -434
6372 8493 759
6092 9371 -704
4233 2916 -275
3861 636 58
26 4131 546
4752 526 833
1981 7760 494
4042 7932 69
6232 2436 -71
6354 5910 -68
3065 6534 -182
2892 8963 -139
8207 3877 -552
2517 7230 -549
6460 8897 -426
1416 1753 183
9719 5751 148
5518 4249 616
8043 8006 887
3792 9619 143
4329 5948 545
3812 2342 -500
95 6283 -924
6332 2071 -982
7823 2018 -54
4105 6306 -615
8580 188 808
4804 5328 930
6095 6211 -611
3710 768 204
760 5568 509
9613 1846 241
7200 509 -81
5226 2029 -211
3642 5100 -921
8495 7650 -311
4348 580 -406
7059 5576 -72
8585 7792 765
4509 2832 883
6241 6350 384
100 4416 420
5922 7370 -760
5199 4090 444
1435 8601 -737
5604 223 -538
9669 5795 251
111 3113 576
5862 4007 558
6167 5512 892
1150 9097 -50
7343 128 -323
4510 6121 381
4011 5680 480
2577 4578 483
8654 6703 -66
5911 5305 -838
5989 5183 777
6735 6195 243
9307 4311 639
8750 1799 891
8772 5046 -662
4574 2938 578
2203 6142 279
7675 3863 -778
7058 7446 -949
2964 7472 -426
2957 2647 -300
790 5093 -322
1281 2372 -371
6459 3252 -346
483 8559 313
7749 5576 -40
6564 6888 -369
5916 2477 862
7605 3300 -233
2907 9731 -499
2751 8388 -670
5415 1082 469
8949 6671 -787
1427 9377 -382
6924 7358 186
7506 6620 -531
7943 684 51
2457 6556 787
6582 9727 816
6280 2806 50
7124 7956 -511
9698 1163 728
3597 8059 571
3509 3454 -258
4535 2299 800
8007 2670 -408
7633 7201 751
9319 1394 -882
7534 6381 -479
5701 648 469
8920 4293 -349
623 2560 40
2594 6744 145
404 361 -190
6243 9679 261
3937 4149 -938
6869 4896 356
8583 4730 -641
4032 7152 592
7065 6717 1000
3314 5820 -766
1579 9215 -472
3911 9157 400
1861 5424 -758
6110 9762 924
4824 4743 -770
7042 4258 -979
1138 8812 58
6190 606 281
8666 7196 -985
305 7577 240
7892 2405 589
8340 3780 516
4018 2438 -795
6913 5786 -811
3340 6914 609
4152 1727 -908
8987 5027 -728
6539 7706 122
8377 8473 890
7513 8283 45
7112 2283 139
459 3037 -971
7627 5283 -798
5594 1404 656
8325 2390 542
82 9110 -981
777 1127 -510
6732 5098 -151
7672 3159 517
3072 9084 -757
1250 6757 -551
2902 2062 642
8283 3093 -673
8451 8232 810
626 5133 -466
7212 4377 45
5046 4621 210
7238 2780 -400
6322 7762 -198
8462 3247 799
2723 5873 495
5083 6323 -311
7914 5546 -155
2669 4716 -215
5405 9048 653
8987 2533 -825
3741 8136 -770
1574 5969 -770
2368 8428 762
1022 9371 -960
2428 4750 -134
5532 4116 325
7186 3077 95
8484 2705 124
8922 4332 134
3123 1641 -461
6578 5465 172
6632 9693 -828
7695 2795 -692
103 6274 657
8480 2027 -517
8874 428 680
2560 2271 585
904 1020 -17
1022 4955 -742
8651 9085 -182
9188 1048 526
4678 7647 997
5183 937 -954
2445 9112 -74
3188 4514 84
4193 8309 450
6403 3269 855
1436 4196 597
6625 4361 -376
897 6803 695
2224 1600 203
5710 6283 -43
7794 6363 879
9379 2668 -318
5598 863 -45
5016 5607 369
4201 9015 127
8601 5935 -252
975 5381 217
916 8614 -61
6073 4340 -239
5724 3728 -425
7290 7958 48
9231 7056 -327
5412 7645 801
1413 1684 200
7424 2559 -707
3831 4309 974
2096 8833 -530
2155 7544 751
43 207 862
9695 18 654
1922 9158 -765
8971 1776 132
2579 4657 940
1396 4325 320
330 6683 -459
7694 1491 314
8422 9162 493
4643 8527 738
132 3399 -475
2626 2836 -795
1970 8186 297
3871 9147 -167
1864 7398 -962
9280 7687 780
1615 269 -323
9642 9434 27
62 1515 -493
5943 8060 -282
9453 47 139
429 7774 -467
7358 6829 965
8142 378 -297
5876 6637 287
7763 333 -340
3786 5446 387
1820 4746 773
8276 3533 -193
1441 96 644
6140 7469 -68
2617 5999 -575
1851 5738 46
1201 7676 741
8820 6690 20
8971 601 580
4685 1504 -600
6367 4459 -634
2830 8539 253
7695 1746 778
7912 6671 -514
7050 9268 710
2113 4517 -946
5986 4551 685
3074 790 651
8568 5388 211
8120 1266 -255
6873 6969 -276
538 8927 -899
8615 4829 -404
3504 7911 -110
7931 4700 -379
2912 6630 -297
3829 8574 920
3177 6746 469
4310 5136 -778
1759 950 -627
7420 7753 195
6431 6966 -658
2854 3629 475
9213 8615 -279
4700 7196 -292
3339 3145 -289
9244 2366 -209
7931 3610 542
3106 5441 -435
2753 8664 323
7881 8010 -976
5078 5074 -799
6350 1279 -431
2379 31 -351
757 1381 833
8204 3543 -455
550 5484 19
4037 6267 -113
5272 2500 -516
6024 7003 -593
6303 669 -563
8005 5349 48
1526 507 69
6193 9363 -298
7469 9210 -340
9560 8024 716
5462 8945 -660
9646 6987 -518
4429 7130 -255
4346 3371 144
9461 8780 -468
436 3241 504
1908 6564 -506
5214 790 -515
4129 9071 -779
1178 3574 -825
6665 3606 -737
2609 3028 -818
5267 7714 -157
7188 6943 -836
6239 5570 930
6524 8335 618
193 9583 -808
5834 7918 503
6079 2260 943
2005 8211 -963
4451 3636 -350
1769 1636 -826
3412 1202 811
2837 8025 -788
1113 8507 -678
5283 7208 -931
3826 3005 929
7036 1316 829
4900 5816 788
6708 4955 -13
491 108 436
7211 8596 646
9369 6125 -798
5541 4640 -446
2635 4906 -6
509 1233 651
9472 9186 -243
6709 4132 -262
5610 7683 233
804 2950 -330
2551 3513 173
2852 5907 892
9213 9421 -194
6515 7946 -835
2276 9465 0
662 2219 413
2528 6746 -59
8045 5529 -360
265 8463 -145
3106 8430 526
3178 1457 -48
8570 6293 -965
1528 7556 870
9229 7173 -941
7855 8567 -720
4555 2284 876
8609 9148 285
3158 3762 -944
1771 5565 477
5640 4546 349
2432 4844 -519
3880 3490 -484
6447 4634 -802
4850 8777 138
8227 6864 -90
6996 2265 65
5166 9432 9
3947 2316 709
5295 5054 357
3766 5524 -373
8641 4729 -452
1024 8356 -240
175 9166 -214
7297 5764 633
1717 2859 341
6247 3491 -789
3369 5855 239
8134 8128 770
9511 9317 -955
4626 8370 695
9508 6602 836
355 6761 534
6536 7365 492
845 2722 908
244 115 753
2949 2382 -830
6979 5680 -60
5086 757 -33
2717 1884 350
4242 4727 -129
883 603 -777
7356 1155 438
7229 9507 -296
8806 7312 334
5951 7394 890
3329 5910 781
7760 6086 -145
961 2258 -943
3090 4945 -575
9017 7244 -639
6500 994 555
5322 7703 -108
2934 8154 -994
9750 579 -642
92 516 -272
5045 2446 397
5920 3873 163
4604 8296 -35
3428 2869 -330
3325 849 724
3087 1848 -46
6992 9540 -729
9668 2523 986
8103 7866 -115
6266 6401 -653
4944 3837 935
6210 7704 -591
9529 2612 531
2956 9455 -584
1580 6155 204
6568 8281 409
8969 1010 603
9575 1528 -740
4915 1862 -762
7077 2294 -109
7715 4085 -507
6339 8030 884
3416 5076 550
5790 9176 42
6656 7347 11
5899 6672 -602
1323 3227 -896
3007 6201 44
4125 3764 86
7244 7464 809
2523 1900 -247
8086 4920 184
4283 9684 -96
7562 5839 337
4587 2125 57
5482 2722 978
2783 8567 930
1146 5754 -638
1977 8894 941
8838 4475 667
8682 9184 380
9426 1629 -670
5608 4346 -34
7558 4756 -605
4357 7293 -272
6484 7055 242
8759 9696 465
361 1496 744
9394 8224 -482
288 2077 -667
8587 1181 -53
6897 2757 605
2693 7371 935
9296 4875 -213
4615 9441 57
7218 4007 278
677 4760 235
6806 8437 -29
1840 878 165
69 9690 288
1446 1389 -160
8865 8633 -556
4265 555 779
5049 6182 -516
5677 4925 604
5545 8073 -476
7099 3060 -453
4529 6053 -984
6617 7568 -290
3155 4715 42
8603 2840 -598
9614 3938 279
6961 7397 563
5557 4236 54
9351 2186 528
9785 1813 -725
7157 8015 4
7605 2423 405
159 3995 -485
4929 2802 988
4727 8912 583
850 6654 -19
7165 7055 246
3861 10 -165
9479 5175 732
9302 3769 -943
9505 9599 27
3956 4070 261
7889 694 -59
429 8466 -218
1089 7829 -804
6863 5187 -413
1823 9104 718
7161 8617 333
5556 2729 382
1787 2945 304
3149 9499 -617
6938 9109 683
9600 9643 -131
8848 9748 -532
7215 6246 995
634 7868 -479
3681 1940 817
2282 2708 981
1339 9448 793
6361 3611 -677
931 6718 469
7974 7937 -267
9619 5429 416
5142 9759 -590
1217 758 708
3574 5800 46
1679 6056 -822
80 7940 -133
1813 3617 92
1933 5996 844
5267 6992 892
6706 169 -214
3019 9606 724
4369 1299 945
8724 55 -291
7553 134 -207
170 7573 681
4159 3888 -738
8691 8814 -346
8418 4278 385
1619 363 -354
7510 7062 -514
2944 8498 737
5261 3345 -304
4151 661 -560
2449 2490 -523
861 7545 982
3556 1491 -597
7529 6635 933
5805 4518 -365
5297 4919 905
5665 4186 -73
1470 3261 -428
7503 710 -45
4715 5780 -380
361 973 642
7324 3416 158
2837 8849 755
9167 9073 846
2293 7193 -157
3358 7792 -364
4818 6185 -395
5867 4635 -741
3436 6598 829
5593 3410 889
9686 7096 430
4855 9231 -199
6048 6591 893
7726 8997 36
5871 5605 -442
894 934 680
1573 1975 442
4369 5264 621
1135 7824 -918
7161 1952 87
9185 7557 -370
2809 6758 894
4178 3461 -14
1998 2427 -985
614 2240 688
199 1237 333
5437 7910 144
1877 3964 551
1945 7859 292
7767 460 881
567 2726 866
2698 4713 435
940 3875 -806
4771 964 82
6781 355 475
3235 8576 -60
7995 5271 94
8108 8053 -231
3226 8394 835
4467 8713 -420
4462 3020 685
6011 1502 -845
7611 5737 -66
4162 6307 -150
7626 4522 -680
8560 1235 412
6038 6204 -25
6077 176 -553
5303 2273 321
2230 3359 -235
4043 1581 348
3760 3947 948
9170 5181 906
8094 6222 -141
1070 3308 -664
5633 6066 -764
9531 1862 -671
7740 1722 -397
2474 6496 318
7872 464 541
5355 649 3
533 7273 649
6028 5815 -502
7468 425 -709
6975 1672 964
3912 2044 260
8192 1084 24
6568 8352 -193
7088 8548 568
2590 3247 424
8454 6686 95
403 9642 645
188 1931 -933
5775 5334 313
3240 8099 -273
7778 8311 716
3201 3117 -523
11 2785 927
9451 4602 701
127 8299 -219
1981 5029 614
9650 4070 880
923 106 919
8076 1339 165
8342 3636 757
5425 1358 -496
529 5149 55
6694 7069 890
2024 1825 -298
5252 7919 942
6729 4293 -117
9082 2065 562
9124 4760 -720
9413 4595 333
8533 9035 221
5846 9405 -359
289 3542 -466
8108 9557 -182
6035 6267 649
7589 8638 815
629 7920 -856
994 7860 -536
9161 7212 303
8801 6200 589
8423 3943 127
5412 155 851
7275 84 -722
4997 4281 -663
5663 9017 16
5904 1027 511
3450 9600 -60
2717 3491 36
9371 3707 785
1067 7376 989
3906 1833 -425
572 1164 -307
2841 7095 -356
9185 4430 317
1686 3749 521
7170 2315 763
9230 9778 -199
2129 8104 699
4957 511 -943
