18
960 877
335 206 -288
186 721 -169
172 889 -777
896 770 -976
50 892 -620
187 862 -235
233 900 -373
144 781 -725
513 333 -173
413 319 -867
642 298 -531
423 211 -604
370 887 -805
65 126 -331
42 817 926
897 564 -680
76 444 -837
311 522 -879
654 383 574
804 539 -610
398 756 705
642 490 783
203 306 571
372 392 451
908 653 -794
826 672 296
254 208 3
59 39 -326
110 791 -502
610 507 -843
828 295 82
396 450 -357
195 700 281
110 796 -527
180 931 90
398 548 -620
714 555 -940
129 355 -968
798 468 -767
811 832 730
292 500 488
662 640 871
458 99 113
65 867 -626
578 418 650
943 362 -38
862 227 -837
216 624 127
321 841 -570
448 522 598
912 673 -493
319 738 168
924 462 -45
233 89 -181
424 475 989
178 104 -965
923 151 952
636 857 -57
918 82 -726
488 540 801
947 555 -231
511 738 -559
459 570 572
782 153 -482
915 85 -878
36 202 -461
860 368 -632
736 735 938
97 171 -52
730 946 -494
42 114 -133
651 452 -365
217 90 -66
397 826 -369
893 853 -663
866 163 -430
825 507 123
833 572 -459
383 630 -86
846 186 648
280 834 -151
119 485 642
847 92 -15
910 206 755
108 254 382
261 318 212
205 794 -4
188 517 -530
194 603 -416
938 701 -511
127 265 383
149 327 -338
613 70 -890
155 568 223
167 713 164
559 317 210
68 228 774
708 439 744
523 38 -545
483 614 -187
604 26 -877
205 611 102
107 939 346
343 828 -754
693 608 79
323 6 -473
39 362 -788
165 905 -20
188 262 982
677 527 723
447 482 -540
773 290 -675
530 844 550
936 550 703
764 314 532
858 311 27
53 64 769
630 933 731
60 248 482
440 232 536
483 393 -187
620 8 442
82 233 118
435 282 557
626 747 -505
820 448 610
654 491 -880
276 904 868
716 239 -760
842 351 591
195 54 760
143 597 -645
194 282 585
143 446 -501
373 143 632
509 686 -51
662 876 798
277 621 777
230 732 -522
707 287 -57
394 232 -932
832 294 944
630 131 810
736 902 842
246 687 -569
636 125 961
19 652 -905
585 514 660
777 434 987
337 721 -32
135 630 -547
406 915 157
874 664 -463
707 389 971
532 171 922
64 805 -683
523 657 -551
797 154 961
194 817 189
799 888 854
241 216 -301
97 774 -247
951 211 -561
253 934 -179
537 513 57
907 913 -966
591 676 578
884 23 728
711 688 252
271 714 -901
208 652 -417
813 837 -568
865 932 -993
567 428 947
444 857 89
247 163 873
586 590 -123
240 329 341
173 785 -828
909 738 -220
525 597 -214
895 287 -876
642 775 817
791 329 -896
949 244 -376
738 559 -289
596 120 429
179 947 988
729 102 -106
768 682 -150
46 74 -709
558 311 -258
479 939 -123
845 778 857
805 545 919
210 620 520
794 798 86
253 435 -479
273 554 248
147 827 207
710 277 35
441 48 502
229 439 -371
397 262 463
882 872 -71
11 609 573
575 590 -36
322 637 -538
477 761 357
859 943 -286
639 598 823
884 647 541
874 482 -98
774 62 106
44 545 604
11 38 193
472 723 -937
140 290 641
222 528 -208
760 76 170
450 620 281
894 59 -185
526 796 571
413 894 -810
748 773 307
667 784 314
753 416 771
32 25 206
630 455 520
130 341 374
598 923 -357
269 206 810
814 954 -666
81 112 -313
490 537 -639
911 624 -63
772 161 -538
50 875 -739
553 372 -730
594 263 630
489 450 -756
234 351 -171
82 421 302
209 668 -947
614 247 -907
943 556 86
920 610 -812
715 830 -743
858 286 -334
353 73 616
254 498 675
11 615 -370
676 636 -940
493 378 -498
325 274 497
17 615 631
873 428 989
335 92 706
505 351 -813
177 828 -597
770 539 710
419 301 -536
360 454 511
238 26 17
285 617 -897
897 704 -6
221 948 228
255 279 -123
829 349 -982
511 48 -842
35 946 -761
1 690 324
602 528 -467
374 517 580
149 600 -978
255 59 -936
534 954 657
777 133 931
461 91 881
586 27 -997
368 960 834
742 607 -146
171 471 936
689 228 771
291 6 -515
553 821 -505
38 399 -210
506 586 648
158 230 -197
274 551 -324
944 867 543
765 418 53
675 4 350
114 271 -842
925 390 124
960 663 892
890 872 -45
710 238 762
363 531 -315
684 218 454
392 562 635
244 374 783
835 413 547
257 932 -488
127 343 816
879 930
362 658 -349
181 96 442
537 170 -926
359 15 465
772 827 122
467 720 -256
539 605 -346
668 609 -380
332 422 -401
45 581 631
669 313 16
91 163 611
371 150 576
31 579 -802
359 164 -952
873 477 746
308 605 678
628 393 682
819 304 -749
38 508 -268
863 104 583
764 749 -19
262 93 -236
382 552 880
464 625 159
821 439 -95
642 545 -323
160 775 -988
453 828 -853
560 654 -203
566 736 322
768 610 11
309 85 677
308 711 590
697 354 -600
876 514 299
245 197 979
342 280 -712
639 349 393
59 613 -745
692 22 -805
163 666 843
270 548 -38
606 322 -639
359 36 884
611 517 50
521 431 -287
879 568 -978
129 140 -482
652 221 821
772 98 -612
853 825 189
434 766 -189
632 141 899
75 744 987
608 558 -261
744 238 -632
57 681 490
556 609 -954
602 266 -829
537 148 -640
569 473 433
466 663 115
195 797 962
625 511 -460
598 131 756
158 577 908
617 30 813
483 737 -68
549 218 -57
867 420 758
597 95 -626
221 421 -649
348 445 36
727 602 -759
585 457 47
99 465 -953
400 415 335
215 549 423
715 633 -720
452 218 -184
786 342 -773
601 40 -647
758 126 146
793 113 -130
643 119 -558
153 299 -181
504 756 -542
814 115 426
505 261 -588
485 768 222
844 205 322
730 780 -257
667 487 137
309 360 789
799 69 354
184 873 -506
672 234 385
194 683 343
474 78 77
22 438 -563
23 839 977
808 449 726
258 284 513
144 719 -460
243 552 -638
672 235 -274
288 634 -608
318 711 -196
191 645 -144
538 726 948
735 257 605
86 69 -158
701 555 -919
339 44 -780
767 328 474
617 592 706
757 858 -987
665 320 -484
199 123 -570
747 445 -462
400 175 157
848 874 874
23 298 -732
852 144 -106
11 430 380
152 232 264
179 274 -266
493 718 -581
337 165 -368
374 124 -628
344 251 -709
274 231 -790
286 141 -113
103 229 255
766 685 40
101 575 906
84 672 -185
499 475 -451
715 422 898
268 857 695
831 464 -164
722 167 280
68 123 -923
235 701 -383
847 858 -601
302 683 440
685 442 177
708 871 945
106 637 -991
415 377 989
534 652 -959
499 335 534
617 666 744
810 214 712
217 672 512
440 408 143
414 840 457
96 604 -89
446 94 -730
21 469 -42
17 847 -929
331 803 -488
842 818 136
21 181 569
191 178 304
691 254 619
604 789 -636
326 616 2
391 307 588
5 707 971
829 523 293
249 128 -177
38 424 -283
581 517 -646
170 770 -893
786 488 482
446 716 -22
39 186 714
258 290 -326
398 493 -33
297 871 891
713 650 -665
472 28 621
838 355 472
438 188 -752
464 290 -150
367 190 187
821 178 364
756 554 670
343 278 -278
779 194 270
166 434 -322
85 383 468
769 605 740
359 581 735
798 563 -33
722 375 883
777 233 -277
423 379 -503
148 333 -414
848 613 957
404 144 731
337 567 365
550 270 -360
553 152 -888
856 356 157
518 46 902
725 683 743
332 676 205
234 144 43
856 514 247
520 824 -100
712 581 758
49 524 -106
458 111 399
769 667 979
729 55 -590
798 527 531
699 213 -464
161 393 803
151 62 267
693 150 180
715 384 -503
82 423 355
298 287 -816
291 113 836
735 293 29
383 556 -288
675 704 -412
566 184 -109
494 388 373
509 661 163
218 325 618
612 56 381
723 609 -988
142 564 -907
769 498 559
581 574 916
572 298 828
593 820 260
342 743 -172
121 463 836
596 590 -94
829 746 550
360 358 780
823 380 -928
783 439 342
370 820 471
870 300 175
197 700 955
293 632 -403
574 157 -603
268 859 -629
334 55 253
238 678 163
688 401 -697
334 631 -230
116 388 -134
563 877 983
783 790 513
168 291 -136
726 514 70
66 85 994
781 237 215
409 340 -53
184 254 -87
604 223 -241
595 171 976
87 193 59
626 217 1
89 248 -138
463 760 -705
566 416 -215
409 348 34
791 51 846
202 517 -237
731 499 833
267 420 737
58 297 229
668 96 745
767 601 210
762 757 258
791 197 811
859 842 33
568 623 501
562 279 -187
279 730 301
775 539 997
667 579 421
111 524 52
781 514 951
690 61 673
574 118 -260
601 570 195
318 197 928
139 779 736
308 795 905
59 156 58
795 322 -945
775 587 -182
369 157 541
401 300 587
312 772 -498
114 134 925
721 770 72
490 41 -896
222 557 -174
8 507 464
401 805 405
12 27 -638
121 174 -748
808 858 -395
612 302 -805
82 657 -920
141 197 -415
457 105 -170
307 690 -327
122 405 -821
305 2 -312
427 698 -971
798 351 -192
514 172 763
482 213 -757
495 756 -421
314 480 -570
630 132 616
519 335 387
806 864 -246
468 229 554
31 363 261
32 272 -924
674 261 -959
333 768 -420
754 437 346
441 560 917
470 335 -751
449 415 -993
662 665 795
602 676 543
199 272 -636
569 802 -477
839 317 649
591 63 884
73 554 892
113 231 -274
102 681 512
330 141 -13
587 672 -131
369 651 375
113 60 421
715 465 -354
224 748 417
194 125 -731
49 788 368
183 189 -920
457 33 -274
484 641 -903
116 573 195
10 479 26
697 7 148
583 300 -485
539 715 -163
218 725 -95
537 9 511
630 262 868
521 610 749
497 59 -808
54 322 338
266 556 291
563 726 -782
402 466 -272
142 819 482
365 398 -473
419 307 114
182 378 -635
621 624 623
6 871 260
663 316 -961
802 382 521
847 370 811
478 552 388
70 82 876
685 596 968
323 743 847
190 482 712
453 176 563
506 179 408
806 274 -515
872 593 -501
33 42 -568
372 129 -241
353 169 -358
118 280 -730
525 215 -439
370 534 891
95 497 831
776 420 -558
571 445 391
48 284 -88
308 431 51
527 549 495
776 764 -313
478 821 -955
319 568 214
818 541 -342
443 826 868
840 854 901
835 3 802
790 224 209
413 617 355
435 604 513
512 403 -281
516 100 -203
674 641 857
800 391 368
55 389 -974
360 251 -997
492 771 257
309 419 683
474 258 -381
39 86 -618
550 488 -944
215 401 -748
847 131 -744
224 686 -431
333 718 -67
546 333 -128
179 512 665
576 636 468
689 472 -767
421 827 442
32 181 276
580 679 525
577 191 37
850 396 412
99 33 -204
352 486 429
741 28 -803
658 814 417
828 330 132
78 253 -890
722 488 -845
795 444 -471
505 819 -783
402 649 277
568 98 -869
500 751 219
641 438 -393
215 868 -34
841 151 334
225 146 188
471 598 979
838 656 999
172 688 -754
12 232 235
864 358 738
117 378 257
184 495 -6
850 25 -234
642 795 -493
467 154 790
817 643 436
461 719 353
339 1 -320
374 530 -511
25 480 390
278 552 -24
452 323 790
333 609 439
310 198 -621
9 230 59
833 780 416
155 265 605
91 394 629
789 285 -52
291 171 826
371 98 -886
604 339 -255
575 24 289
753 618 -68
701 650 379
635 26 188
98 309 543
373 866 348
247 294 281
573 348 -476
787 719 779
185 189 960
544 88 59
878 276 574
321 282 178
86 12 476
599 699 -155
694 536 -99
508 580 804
286 339 -239
215 154 254
345 766 387
314 398 -591
649 705 -836
811 187 -987
81 636 403
517 224 -604
515 808 696
383 471 -476
259 581 623
92 82 814
93 510 -626
353 371 -239
656 183 -454
36 242 -727
580 493 -901
339 604 646
803 131 -736
847 794 796
381 7 -537
614 783 -629
689 369 -660
469 623 -933
511 750 725
287 451 724
748 473 -116
472 129 447
722 838 474
813 692 14
728 461 -379
668 282 794
213 310 656
431 327 522
756 700 -875
441 835 225
857 737 461
67 316 687
787 4 -802
366 785 -873
20 409 -548
637 492 -555
859 734 856
658 785 -437
351 878 464
565 140 -341
211 539 -895
711 281 684
642 628 351
644 845 8
666 677 -910
566 706 -416
103 190 751
394 451 -639
604 762 -330
606 284 421
23 496 227
632 865 54
259 12 689
38 120 -426
182 2 779
431 48 -889
211 877 -435
6 823 844
303 351 210
650 661 823
536 478 -938
168 70 -881
651 324 -755
625 662 708
529 685 670
272 189 -846
475 148 401
11 117 601
595 491 328
39 843 -90
525 335 649
329 262 768
33 522 -691
51 389 -887
357 369 -293
822 873 633
288 442 676
36 304 817
6 668 274
649 209 -163
343 598 169
528 283 -445
332 588 119
62 560 -434
486 178 449
366 664 196
851 9 -201
671 269 425
189 609 -415
524 861 99
107 163 -648
551 627 -718
449 436 -792
330 778 178
583 260 -968
236 602 619
273 310 -624
736 464 344
456 485 -608
690 563 -612
373 516 -379
72 278 688
663 595 -463
743 468 587
91 764 -245
789 65 -728
803 422 -737
376 224 -720
436 466 475
2 180 -891
747 855 553
453 176 -737
794 416 -187
670 323 7
436 652 487
256 586 -531
258 663 795
847 378 -682
797 45 -566
327 24 640
43 819 160
200 162 806
711 565 -254
496 850 186
10 99 53
228 193 251
737 344 948
235 582 419
695 408 -385
761 762 -14
584 765 -647
195 197 -929
690 51 468
674 212 431
734 73 -504
712 768 911
811 780 378
326 189 -390
472 569 49
670 115 545
823 792 -929
629 94 361
639 11 -264
462 250 165
164 442 578
463 461 -997
172 762 -291
590 432 -766
21 549 -25
120 232 -891
631 154 284
512 297 -473
488 840 -311
538 65 -982
336 804 26
604 714 531
12 452 448
306 849 512
248 253 313
858 740 331
606 195 -394
298 368 -835
773 481 -454
320 457 -864
599 684 -364
544 570 -589
488 228 -726
617 95 795
623 328 562
122 580 635
675 293 829
826 126 607
851 169 -8
527 577 53
339 326 276
541 194 -795
529 212 366
539 232 951
572 815 -116
834 789 -922
688 103 -915
682 220 102
447 379 -867
621 455 -147
297 690 397
214 190 872
628 517 55
470 192 -468
228 719 486
373 280 339
683 260 -909
306 388 -939
431 169 342
10 583 384
604 485 719
697 348 -974
199 275 978
48 418 -381
486 792 -912
631 223 46
6 626 -751
122 306 126
620 96 -160
787 578 16
441 493 -817
319 820 224
593 824 467
454 101 162
555 253 -641
254 213 41
441 151 67
398 713 455
175 219 68
224 862 -379
754 85 137
723 66 170
182 873 -807
731 409 -423
100 721 732
126 762 53
650 3 -762
554 307 522
318 252 571
288 835 313
112 578 216
63 332 91
498 188 -459
264 710 478
21 797 -224
807 856 -428
115 59 7
633 813 -916
179 473 38
34 866 346
163 2 749
481 490 200
861 457 -546
508 866 799
311 694 -45
656 703 -88
500 622 -464
874 724 -41
190 384 901
153 385 -722
765 10 610
534 112 203
318 413 641
410 307 -575
363 389 535
589 538 -761
722 678 909
873 411 408
45 570 -324
773 452 -970
748 291 357
539 34 -456
127 531 416
326 665 -504
15 153 157
331 644 -740
267 67 -755
723 271 -58
673 843 253
210 821 -941
378 709 119
520 150 -55
321 137 -350
387 270 356
531 41 -904
201 234 469
526 423 -993
467 276 29
257 154 496
380 250 -22
274 870 82
636 412 -332
788 312 -102
204 209 -588
478 171 -521
612 331 -893
353 680 -933
767 477 599
730 262 -854
125 169 868
715 227 483
248 809 185
167 322 -184
842 74 -138
87 698 909
875 542 84
731 320 264
633 396 -757
218 123 672
770 809 437
60 152 -656
107 622 299
573 110 -894
538 169 379
430 163 -847
680 420 535
719 313 489
709 408 -281
214 702 147
280 675 -994
799 120 589
218 7 536
654 90 625
753 650 -179
621 126 -300
637 396 882
794 703 -279
10 599 278
808 167 -101
430 29 -980
646 97 -141
639 484 -1
158 386 828
474 223 -174
206 283 -743
787 260 -89
156 488 798
785 493 -297
873 736 -359
577 281 -831
127 145 911
351 119 -144
470 852 -62
682 433 -542
237 591 -291
500 106 -787
829 537 450
400 543 835
709 552 141
663 440 -450
454 79 928
796 805 -94
598 479 -540
565 653 -94
802 615 780
183 78 -301
64 448 -145
79 194 591
329 76 254
61 435 844
387 397 39
599 90 700
663 165 742
142 648 84
537 743 264
716 666 -494
755 416 702
423 410 563
152 517 275
752 225 -697
28 262 -577
23 819 -71
596 653 346
69 104 -98
830 65 -777
749 823 16
36 58 345
566 112 717
260 589 133
537 796 729
71 511 63
852 191 182
812 437 -757
268 23 -739
399 721 542
309 418 -832
698 536 582
53 544 584
562 732 228
263 181 -626
342 292 -788
267 836 211
474 669 -185
1 865 413
175 745 -554
263 182 -577
559 662 -15
782 545 -40
707 648 246
814 275 600
314 438 -990
741 333 157
19 90 -959
16 677 94
342 615 -638
562 15 140
156 451 -102
82 832 997
262 595 -569
12 55 268
422 678 683
102 486 422
524 863 677
659 405 -282
72 322 829
767 780 -151
296 320 39
826 265 209
433 84 188
497 573 -553
367 242 814
126 336 930
463 413 -239
545 762 -19
346 590 -872
482 33 -300
404 144 -316
734 829 -16
604 179 -707
858 729 410
367 115 -926
241 18 877
61 574 762
362 39 -186
207 470 -374
26 389 626
863 760 -488
744 452 -303
490 759 734
206 351 -520
683 700 702
433 677 565
341 613 727
718 360 -284
872 910
834 48 349
675 331 878
320 282 315
459 194 -126
107 415 -904
89 96 -939
239 688 130
218 184 848
624 707 -888
493 259 -276
780 553 894
355 871 596
128 139 538
332 684 -672
68 542 -657
403 295 -879
628 391 -376
312 864 719
409 237 499
665 481 859
321 192 -652
106 127 253
705 824 -51
685 753 672
737 220 493
767 380 385
666 790 600
624 625 -318
428 389 665
248 555 -354
412 296 -504
275 808 842
5 598 368
338 767 -457
226 481 729
362 290 34
431 124 149
286 670 623
210 224 934
151 484 -991
321 534 160
745 754 367
772 712 509
104 847 -77
323 33 163
437 769 -357
230 663 -323
655 652 320
802 846 -486
852 129 -210
490 489 70
149 47 712
98 705 -525
292 555 449
622 225 -631
201 621 -627
2 482 703
776 679 -166
349 429 666
131 668 105
160 136 -243
39 613 -994
112 27 821
296 591 -83
752 117 414
440 337 360
46 235 334
772 47 -150
712 696 -173
141 586 159
641 144 -758
624 802 -569
188 589 -820
54 723 -567
462 817 -627
475 667 -761
93 346 -724
819 446 -373
800 239 -172
309 495 -331
76 611 305
837 727 499
81 346 -676
344 810 899
832 196 -627
41 4 889
717 759 -134
556 774 562
405 294 304
191 537 492
449 61 634
523 642 -914
757 329 -608
405 30 -921
247 499 11
130 519 -768
708 66 -965
367 559 -852
335 14 -597
366 583 -533
13 27 -699
81 704 615
786 371 910
748 680 -182
705 675 -425
681 326 -365
798 558 430
191 389 -29
98 448 407
830 284 674
82 660 982
220 599 183
545 815 739
481 689 -534
487 387 791
156 181 -642
121 256 -65
559 392 -153
85 252 344
77 353 -55
433 113 741
782 473 -635
533 401 707
716 227 -266
207 511 -85
444 406 -336
214 354 519
94 542 110
657 792 -322
79 411 165
787 434 -916
708 29 765
241 557 -487
631 599 -264
669 403 682
783 639 785
718 108 758
261 657 -440
274 787 -290
863 408 133
632 463 -960
680 731 -938
123 819 179
42 627 555
151 658 -551
867 460 875
735 698 -102
31 312 -259
414 802 -298
377 177 -537
507 599 -432
721 862 -394
532 560 -742
793 319 725
657 516 482
614 600 -288
665 647 -760
74 689 -284
857 460 -169
470 79 692
640 532 188
585 138 340
263 648 -713
207 533 510
730 171 -924
523 666 989
11 779 316
490 215 740
447 377 290
524 677 -41
587 764 874
319 474 75
440 276 -700
146 173 -630
208 577 -101
284 341 787
230 201 -59
872 509 -721
744 259 -792
318 777 493
486 808 -331
712 512 -858
516 680 332
527 572 765
276 67 -427
851 169 -806
395 366 911
465 470 28
318 87 -925
620 299 -701
485 584 -540
331 12 -795
180 671 -622
264 163 447
805 258 -944
270 372 -327
49 249 957
864 448 596
588 786 839
711 868 -256
869 250 967
863 222 328
558 752 456
112 640 -128
589 413 -627
147 320 657
105 452 -962
402 770 -336
768 737 -103
789 592 251
412 511 283
296 183 -570
168 440 -752
297 95 -233
179 371 -606
463 253 -714
329 539 840
670 493 -381
809 103 -876
170 702 -368
758 858 771
106 213 161
202 361 -444
247 11 -972
281 365 -252
570 146 -540
343 871 972
133 663 -609
761 456 403
237 413 337
664 684 -939
371 788 -959
125 267 -320
395 791 887
519 249 -43
482 850 982
445 811 518
39 584 916
525 194 -199
674 272 836
423 10 279
473 74 -651
33 211 -836
861 597 91
245 166 569
148 340 -120
375 630 4
524 266 -866
157 57 555
154 105 -26
261 81 -930
99 121 785
696 745 944
647 842 -865
257 421 58
400 126 -725
583 448 -907
299 22 -88
469 735 -573
428 54 -565
29 686 -198
361 201 -354
397 624 656
446 186 50
774 101 -974
824 158 -395
771 194 -444
486 477 902
441 35 -111
257 344 727
497 289 481
328 655 -775
446 788 963
273 658 485
429 720 -226
689 295 -740
377 56 315
343 112 -359
478 576 -569
251 369 766
777 670 987
121 638 783
161 315 -987
205 642 -742
7 736 -4
364 247 -1
843 800 933
293 71 680
435 198 946
524 233 686
434 119 542
109 587 311
630 160 172
132 812 -73
142 318 260
361 797 689
24 599 554
249 558 -666
358 62 -27
166 617 223
672 199 105
203 784 -234
107 596 -526
172 487 -489
582 293 460
524 697 -351
302 15 880
303 231 281
403 449 -368
480 426 -953
205 848 947
630 787 -820
240 488 -796
84 245 608
360 445 267
485 219 -98
500 229 -797
549 476 996
673 757 789
551 764 86
710 390 -458
435 659 -140
191 776 43
721 169 735
811 406 907
194 573 -949
66 813 72
451 775 532
248 651 -14
21 539 -108
542 432 647
747 170 555
841 682 447
738 698 653
359 695 50
465 586 -560
743 105 -828
715 231 497
790 208 -950
217 410 -999
624 34 321
99 626 -275
717 683 -793
854 73 297
